"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"KARNATAKA"," HURT OF SCs",181,132,99,94,86,120,165,243,262,214,182,161
"KERALA"," HURT OF SCs",169,162,114,106,129,85,180,144,148,205,293,288
"MADHYA PRADESH"," HURT OF SCs",663,1252,858,890,950,815,664,706,714,877,900,704
"MAHARASHTRA"," HURT OF SCs",48,42,41,53,52,57,78,97,56,77,84,81
"MANIPUR"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA"," HURT OF SCs",380,267,234,241,259,192,309,318,390,376,127,188
"PUNJAB"," HURT OF SCs",14,6,10,12,7,5,4,3,12,13,27,21
"RAJASTHAN"," HURT OF SCs",419,361,632,636,399,435,405,498,557,564,510,568
"SIKKIM"," HURT OF SCs",2,0,1,10,3,0,4,8,8,1,2,0
"TAMIL NADU"," HURT OF SCs",422,251,163,159,142,136,198,147,105,149,206,191
"TRIPURA"," HURT OF SCs",0,0,0,0,14,1,0,1,0,2,10,36
"UTTAR PRADESH"," HURT OF SCs",821,567,172,336,427,398,394,447,403,323,320,281
"UTTARAKHAND"," HURT OF SCs",23,7,48,9,23,6,9,6,12,4,4,9
"WEST BENGAL"," HURT OF SCs",1,0,1,2,2,1,0,1,4,0,7,7
"TOTAL (STATES)"," HURT OF SCs",4547,4491,3965,3824,3847,3760,3814,4134,4322,4343,4247,3855
"A & N ISLANDS"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY"," HURT OF SCs",0,0,4,0,0,0,0,0,0,1,0,0
"TOTAL (UTs)"," HURT OF SCs",0,0,4,0,0,0,0,0,0,1,0,0
"TOTAL (ALL-INDIA)"," HURT OF SCs",4547,4491,3969,3824,3847,3760,3814,4134,4322,4344,4247,3855
"ANDHRA PRADESH","OTHER CRIMES AGAINST SCs",1006,1336,1386,1234,1212,1445,1327,1682,1836,1874,1630,1444
"ARUNACHAL PRADESH","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","OTHER CRIMES AGAINST SCs",0,22,21,13,93,103,37,21,0,6,0,2
"BIHAR","OTHER CRIMES AGAINST SCs",240,306,204,274,207,198,377,592,661,536,138,81
"CHHATTISGARH","OTHER CRIMES AGAINST SCs",166,181,383,353,199,214,232,301,204,205,127,107
"GOA","OTHER CRIMES AGAINST SCs",0,1,1,0,0,0,0,2,2,0,2,5
"GUJARAT","OTHER CRIMES AGAINST SCs",500,566,445,558,517,279,316,484,435,390,460,449
"HARYANA","OTHER CRIMES AGAINST SCs",67,91,73,83,97,97,78,101,92,132,135,102
"HIMACHAL PRADESH","OTHER CRIMES AGAINST SCs",56,36,43,38,24,45,0,15,18,21,3,30
"JAMMU & KASHMIR","OTHER CRIMES AGAINST SCs",3,5,2,1,0,0,0,0,0,0,0,1
"JHARKHAND","OTHER CRIMES AGAINST SCs",62,31,22,31,104,108,167,181,254,170,200,177
"KARNATAKA","OTHER CRIMES AGAINST SCs",316,405,460,404,494,471,605,787,719,899,882,1013
"KERALA","OTHER CRIMES AGAINST SCs",127,77,120,113,127,139,177,249,205,258,291,348
"MADHYA PRADESH","OTHER CRIMES AGAINST SCs",2645,4771,3676,2952,2559,2564,2589,1736,1820,1969,1819,1621
"MAHARASHTRA","OTHER CRIMES AGAINST SCs",288,283,290,312,399,470,557,568,547,519,577,544
"MANIPUR","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","OTHER CRIMES AGAINST SCs",0,11,20,0,0,0,0,0,0,0,0,0
"ODISHA","OTHER CRIMES AGAINST SCs",620,386,427,494,484,246,380,694,511,32,0,0
"PUNJAB","OTHER CRIMES AGAINST SCs",51,54,56,50,47,65,81,13,9,30,22,24
"RAJASTHAN","OTHER CRIMES AGAINST SCs",1219,1513,2569,2902,2734,3098,3405,3450,4014,3974,4239,4536
"SIKKIM","OTHER CRIMES AGAINST SCs",0,0,3,1,4,1,1,1,1,1,4,1
"TAMIL NADU","OTHER CRIMES AGAINST SCs",1105,993,311,183,161,246,391,215,107,186,107,222
"TRIPURA","OTHER CRIMES AGAINST SCs",1,0,0,0,18,13,6,0,3,8,4,31
"UTTAR PRADESH","OTHER CRIMES AGAINST SCs",3683,3314,885,1428,1589,1993,2764,3542,3645,3795,4296,3360
"UTTARAKHAND","OTHER CRIMES AGAINST SCs",45,0,0,0,0,0,0,0,0,0,0,0
"WEST BENGAL","OTHER CRIMES AGAINST SCs",1,1,3,8,4,9,0,10,6,34,14,58
"TOTAL (STATES)","OTHER CRIMES AGAINST SCs",12201,14383,11400,11432,11073,11804,13490,14644,15089,15039,14950,14156
"A & N ISLANDS","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","OTHER CRIMES AGAINST SCs",0,0,0,0,0,1,0,1,0,0,1,1
"D & N HAVELI","OTHER CRIMES AGAINST SCs",0,0,0,0,2,2,0,0,0,0,1,0
"DAMAN & DIU","OTHER CRIMES AGAINST SCs",0,0,0,0,2,1,0,0,2,0,0,0
"DELHI","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,4,6
"LAKSHADWEEP","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","OTHER CRIMES AGAINST SCs",0,0,1,3,0,0,0,0,0,0,2,1
"TOTAL (UTs)","OTHER CRIMES AGAINST SCs",0,0,1,3,4,4,0,1,2,0,8,8
"TOTAL (ALL-INDIA)","OTHER CRIMES AGAINST SCs",12201,14383,11401,11435,11077,11808,13490,14645,15091,15039,14958,14164
"ANDHRA PRADESH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",312,459,165,68,61,93,122,123,39,50,10,9
"ARUNACHAL PRADESH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,1,0,0,0,0,0
"BIHAR","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",81,113,82,93,95,2,0,0,0,0,0,0
"CHHATTISGARH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",1,22,0,0,1,0,0,0,0,0,0,0
"GOA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,1
"GUJARAT","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",16,6,7,5,6,4,2,3,2,0,2,2
"HARYANA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",1,0,0,0,0,0,0,2,0,0,0,0
"HIMACHAL PRADESH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",4,10,1,2,3,0,4,3,1,1,3,3
"JAMMU & KASHMIR","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,3,1,2,1,0,1,1,1,1
"JHARKHAND","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,8,11,0,0,0,0,0,0
"KARNATAKA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",94,101,68,38,28,25,17,49,10,33,8,11
"KERALA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,3,0,0,0,0,0,0,1,0
"MADHYA PRADESH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",1,5,1,1,1,1,0,0,0,1,0,0
"MAHARASHTRA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",61,76,43,26,32,36,20,20,24,25,10,5
"MANIPUR","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",12,3,0,0,0,0,0,0,0,3,0,0
"PUNJAB","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",1,2,1,0,1,0,0,0,0,0,0,0
"RAJASTHAN","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,1,0,0,1,0,0,0,0,0,5,0
"SIKKIM","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",22,79,198,70,12,84,6,3,2,3,12,9
"TRIPURA","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",12,122,52,35,28,133,8,49,61,0,0,1
"UTTARAKHAND","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"WEST BENGAL","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,1,0,0,0,0,0
"TOTAL (STATES)","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",618,999,618,344,278,391,182,252,140,117,52,42
"A & N ISLANDS","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",2,1,0,0,1,0,0,0,2,0,0,0
"LAKSHADWEEP","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",13,18,16,20,12,14,24,27,26,26,15,20
"TOTAL (UTs)","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",15,19,16,20,13,14,24,27,28,26,15,20
"TOTAL (ALL-INDIA)","PROTECTION OF CIVIL RIGHTS ACT FOR SCs",633,1018,634,364,291,405,206,279,168,143,67,62
"ANDHRA PRADESH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",950,830,1234,1319,1244,1514,1200,1383,1737,1509,1439,801
"ARUNACHAL PRADESH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,1,0,2
"BIHAR","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",513,715,904,1813,1141,1438,1933,2426,2534,2548,3024,4436
"CHHATTISGARH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",164,77,155,138,115,120,150,2,1,1,0,0
"GOA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",1,1,1,0,1,4,0,2,0,1,2,4
"GUJARAT","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",356,332,320,411,434,359,328,402,400,220,192,217
"HARYANA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",33,32,36,31,73,86,75,99,91,131,150,15
"HIMACHAL PRADESH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",41,32,36,40,18,36,81,48,60,72,82,83
"JAMMU & KASHMIR","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",35,53,36,53,64,135,274,272,270,245,282,336
"KARNATAKA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",983,1099,1155,1061,1108,1051,1016,1246,1097,1292,1331,1334
"KERALA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",121,229,173,162,41,70,42,51,42,35,59,67
"MADHYA PRADESH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",435,570,445,357,344,338,348,0,0,13,4,1
"MAHARASHTRA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",146,136,216,219,258,350,370,334,291,319,304,267
"MANIPUR","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",645,466,435,574,639,621,554,702,652,1224,1256,1943
"PUNJAB","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",49,53,51,61,72,99,88,79,71,50,24,8
"RAJASTHAN","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",2965,2384,867,579,415,119,102,82,110,103,102,111
"SIKKIM","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,1,0,1,0,1,0,0
"TAMIL NADU","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",682,685,776,691,829,468,1064,1194,1047,1255,1011,1143
"TRIPURA","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",1,0,0,0,1,0,0,0,3,1,1,1
"UTTAR PRADESH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",4885,2974,1128,1264,1623,1702,2113,3072,2554,1328,1995,1740
"UTTARAKHAND","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",84,85,66,112,50,48,56,25,33,25,21,14
"WEST BENGAL","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",5,2,1,2,5,0,1,8,10,27,37,13
"TOTAL (STATES)","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",13094,10755,8035,8887,8475,8559,9795,11428,11003,10401,11316,12536
"A & N ISLANDS","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",2,0,0,0,0,1,0,1,0,0,1,1
"D & N HAVELI","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",17,15,12,4,20,21,24,34,31,16,24,38
"LAKSHADWEEP","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",0,0,1,0,2,0,0,2,3,2,1,1
"TOTAL (UTs)","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",19,15,13,4,22,22,24,37,34,18,26,40
"TOTAL (ALL-INDIA)","SC/ST (PREVENTION OF ATROCITIES) ACT OF SCs",13113,10770,8048,8891,8497,8581,9819,11465,11037,10419,11342,12576
"ANDHRA PRADESH","TOTAL CRIMES AGAINST SCs",2933,3385,3559,3255,3117,3891,3383,3998,4504,4321,4016,3057
"ARUNACHAL PRADESH","TOTAL CRIMES AGAINST SCs",0,0,0,0,2,0,0,0,0,0,0,0
"ASSAM","TOTAL CRIMES AGAINST SCs",6,47,67,20,282,282,126,104,0,7,0,4
"BIHAR","TOTAL CRIMES AGAINST SCs",1303,1579,1747,2646,1824,2043,2786,3617,3836,3516,3623,4821
"CHHATTISGARH","TOTAL CRIMES AGAINST SCs",501,443,709,698,454,444,511,384,284,271,253,262
"GOA","TOTAL CRIMES AGAINST SCs",1,2,2,0,2,4,0,4,3,1,4,10
"GUJARAT","TOTAL CRIMES AGAINST SCs",1242,1370,1165,1309,1307,995,1040,1231,1182,1008,1063,1028
"HARYANA","TOTAL CRIMES AGAINST SCs",229,243,195,217,288,283,227,341,303,380,408,252
"HIMACHAL PRADESH","TOTAL CRIMES AGAINST SCs",110,97,107,89,55,92,91,71,88,101,94,129
"JAMMU & KASHMIR","TOTAL CRIMES AGAINST SCs",10,13,5,4,1,2,1,0,1,1,1,2
"JHARKHAND","TOTAL CRIMES AGAINST SCs",158,125,76,126,277,333,538,598,631,577,636,696
"KARNATAKA","TOTAL CRIMES AGAINST SCs",1621,1787,1844,1643,1780,1730,1844,2392,2174,2505,2481,2605
"KERALA","TOTAL CRIMES AGAINST SCs",499,524,439,438,345,364,477,519,467,583,761,810
"MADHYA PRADESH","TOTAL CRIMES AGAINST SCs",4212,7217,5507,4699,4356,4214,4106,2965,3040,3374,3245,2875
"MAHARASHTRA","TOTAL CRIMES AGAINST SCs",625,634,697,715,865,1053,1166,1192,1096,1132,1143,1091
"MANIPUR","TOTAL CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","TOTAL CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","TOTAL CRIMES AGAINST SCs",1,1,0,0,0,0,0,0,0,0,0,0
"NAGALAND","TOTAL CRIMES AGAINST SCs",1,17,27,0,0,5,0,0,0,0,0,0
"ODISHA","TOTAL CRIMES AGAINST SCs",1734,1195,1157,1398,1439,1153,1355,1836,1709,1710,1455,2265
"PUNJAB","TOTAL CRIMES AGAINST SCs",134,131,127,134,140,184,177,101,108,115,90,71
"RAJASTHAN","TOTAL CRIMES AGAINST SCs",4892,4535,4329,4360,3795,3910,4174,4302,4985,4979,5182,5559
"SIKKIM","TOTAL CRIMES AGAINST SCs",6,1,7,16,7,2,10,17,16,3,9,5
"TAMIL NADU","TOTAL CRIMES AGAINST SCs",2336,2097,1495,1156,1206,991,1743,1618,1312,1631,1391,1647
"TRIPURA","TOTAL CRIMES AGAINST SCs",2,0,0,1,38,14,8,4,7,11,22,76
"UTTAR PRADESH","TOTAL CRIMES AGAINST SCs",10732,7927,2821,3785,4397,4960,6144,8009,7522,6272,7702,6202
"UTTARAKHAND","TOTAL CRIMES AGAINST SCs",168,99,129,137,99,68,71,42,58,35,32,33
"WEST BENGAL","TOTAL CRIMES AGAINST SCs",10,4,5,14,12,13,4,19,21,63,59,85
"TOTAL (STATES)","TOTAL CRIMES AGAINST SCs",33466,33473,26216,26860,26088,27030,29982,33364,33347,32596,33670,33585
"A & N ISLANDS","TOTAL CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","TOTAL CRIMES AGAINST SCs",3,0,1,0,0,2,0,2,0,0,2,2
"D & N HAVELI","TOTAL CRIMES AGAINST SCs",0,0,0,0,2,2,0,1,1,0,1,0
"DAMAN & DIU","TOTAL CRIMES AGAINST SCs",0,0,0,0,2,1,0,0,2,0,0,0
"DELHI","TOTAL CRIMES AGAINST SCs",19,16,13,4,21,21,24,34,33,16,28,44
"LAKSHADWEEP","TOTAL CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","TOTAL CRIMES AGAINST SCs",13,18,22,23,14,14,25,29,29,31,18,24
"TOTAL (UTs)","TOTAL CRIMES AGAINST SCs",35,34,36,27,39,40,49,66,65,47,49,70
"TOTAL (ALL-INDIA)","TOTAL CRIMES AGAINST SCs",33501,33507,26252,26887,26127,27070,30031,33430,33412,32643,33719,33655
