,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking
year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
state_ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a&n islands,3.0,2.0,2.0,10.0,4.0,6.0,3.0,12.0,18.0,24.0,13.0,12.0,27.0,32.0,2.0,1.0,2.0,3.0,1.0,5.0,9.0,13.0,14.0,8.0,12.0,7.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,19.0,17.0,9.0,6.0,11.0,14.0,21.0,24.0,30.0,31.0,15.0,17.0,45.0,41.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,7.0,10.0,3.0,4.0,8.0,5.0,9.0,4.0,7.0,5.0,5.0,7.0,18.0,26.0,21.0,9.0,5.0,5.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhra pradesh,871.0,1002.0,946.0,1016.0,935.0,1049.0,1070.0,1257.0,1188.0,1362.0,1442.0,1341.0,1635.0,961.0,765.0,854.0,931.0,1030.0,995.0,1329.0,1564.0,1396.0,1526.0,1531.0,1612.0,1403.0,1595.0,721.0,420.0,449.0,466.0,512.0,443.0,519.0,613.0,556.0,546.0,588.0,599.0,504.0,492.0,215.0,3544.0,3799.0,4128.0,3817.0,3595.0,4534.0,4406.0,4730.0,5147.0,4634.0,4849.0,4816.0,6930.0,4547.0,2271.0,2024.0,2286.0,2310.0,2508.0,2411.0,3316.0,3551.0,3520.0,4562.0,3658.0,3714.0,4702.0,2649.0,5791.0,7018.0,8167.0,8388.0,8696.0,9164.0,11335.0,10306.0,11297.0,12080.0,13376.0,13389.0,15084.0,6362.0,7.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arunachal pradesh,33.0,38.0,31.0,42.0,35.0,37.0,48.0,42.0,59.0,47.0,42.0,46.0,75.0,83.0,55.0,38.0,51.0,41.0,39.0,51.0,44.0,47.0,28.0,46.0,60.0,58.0,86.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,68.0,43.0,61.0,67.0,63.0,72.0,72.0,58.0,84.0,51.0,67.0,93.0,121.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,2.0,3.0,3.0,11.0,13.0,14.0,4.0,9.0,14.0,20.0,13.0,13.0,12.0,18.0,26.0,29.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assam,817.0,970.0,1095.0,1171.0,1238.0,1244.0,1437.0,1438.0,1631.0,1721.0,1700.0,1716.0,1937.0,1980.0,1070.0,1276.0,1351.0,1552.0,1456.0,1544.0,1471.0,1789.0,2092.0,2767.0,3192.0,3360.0,4222.0,3895.0,59.0,70.0,60.0,74.0,99.0,105.0,100.0,103.0,170.0,175.0,121.0,140.0,170.0,188.0,850.0,984.0,878.0,883.0,899.0,1290.0,789.0,1272.0,1342.0,1400.0,1193.0,1840.0,2409.0,3099.0,4.0,7.0,6.0,11.0,19.0,10.0,10.0,2.0,10.0,20.0,8.0,5.0,14.0,1.0,1248.0,1694.0,1808.0,1945.0,2206.0,2548.0,3000.0,3478.0,4398.0,5410.0,5246.0,6407.0,8636.0,9626.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0
bihar,888.0,1040.0,985.0,1390.0,1147.0,1232.0,1555.0,1302.0,929.0,795.0,934.0,927.0,1128.0,1127.0,518.0,744.0,674.0,997.0,929.0,1084.0,1260.0,1789.0,1986.0,2569.0,3050.0,3789.0,4419.0,4735.0,859.0,927.0,909.0,1029.0,1014.0,1188.0,1172.0,1210.0,1295.0,1257.0,1413.0,1275.0,1182.0,1373.0,562.0,621.0,688.0,704.0,451.0,530.0,853.0,999.0,726.0,534.0,790.0,118.0,331.0,572.0,21.0,6.0,11.0,13.0,13.0,53.0,12.0,21.0,12.0,16.0,11.0,37.0,52.0,69.0,1558.0,1577.0,1880.0,2679.0,1574.0,1689.0,1635.0,1992.0,2532.0,2271.0,2607.0,3686.0,4533.0,4672.0,83.0,38.0,37.0,35.0,74.0,42.0,56.0,22.0,31.0,8.0,10.0,4.0,7.0,5.0
chandigarh,18.0,18.0,18.0,19.0,33.0,19.0,22.0,20.0,29.0,31.0,27.0,27.0,45.0,59.0,50.0,47.0,28.0,43.0,45.0,57.0,46.0,42.0,36.0,28.0,46.0,66.0,174.0,133.0,3.0,1.0,1.0,6.0,3.0,10.0,1.0,3.0,2.0,5.0,2.0,5.0,1.0,2.0,24.0,36.0,11.0,20.0,31.0,20.0,32.0,19.0,26.0,29.0,21.0,45.0,143.0,87.0,15.0,28.0,4.0,18.0,9.0,13.0,11.0,2.0,2.0,4.0,12.0,25.0,26.0,2.0,36.0,56.0,93.0,73.0,75.0,102.0,112.0,49.0,51.0,41.0,46.0,73.0,92.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chhattisgarh,959.0,992.0,898.0,969.0,990.0,995.0,982.0,978.0,976.0,1012.0,1053.0,1034.0,1380.0,1436.0,171.0,154.0,149.0,174.0,184.0,178.0,181.0,216.0,229.0,279.0,365.0,350.0,1881.0,1393.0,70.0,85.0,79.0,71.0,100.0,103.0,100.0,106.0,128.0,115.0,104.0,81.0,109.0,128.0,1763.0,1483.0,1481.0,1661.0,1450.0,1598.0,1549.0,1621.0,1598.0,1706.0,1654.0,1601.0,2261.0,2122.0,161.0,147.0,105.0,131.0,132.0,143.0,111.0,125.0,152.0,182.0,174.0,162.0,180.0,79.0,840.0,653.0,601.0,741.0,732.0,717.0,824.0,897.0,893.0,861.0,834.0,980.0,1181.0,964.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
d&n haveli,6.0,4.0,1.0,7.0,5.0,6.0,7.0,6.0,4.0,3.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,7.0,9.0,14.0,6.0,11.0,9.0,10.0,8.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,5.0,5.0,5.0,0.0,4.0,2.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daman & diu,0.0,0.0,5.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,8.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delhi,381.0,403.0,490.0,551.0,658.0,623.0,598.0,466.0,469.0,507.0,572.0,706.0,1636.0,2096.0,964.0,893.0,797.0,881.0,1106.0,1066.0,1167.0,1136.0,1655.0,1740.0,2085.0,2160.0,3609.0,4034.0,113.0,135.0,130.0,126.0,114.0,137.0,138.0,129.0,141.0,143.0,142.0,134.0,144.0,153.0,502.0,446.0,489.0,601.0,762.0,718.0,868.0,611.0,552.0,601.0,657.0,727.0,3515.0,4322.0,90.0,128.0,105.0,130.0,225.0,144.0,167.0,130.0,118.0,80.0,162.0,208.0,916.0,1361.0,138.0,135.0,1211.0,1254.0,1324.0,1728.0,1787.0,1387.0,1283.0,1404.0,1575.0,1985.0,3033.0,3173.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goa,12.0,12.0,31.0,37.0,20.0,21.0,20.0,30.0,47.0,36.0,29.0,55.0,86.0,95.0,6.0,5.0,13.0,10.0,12.0,10.0,7.0,28.0,22.0,18.0,17.0,16.0,70.0,86.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,17.0,18.0,19.0,23.0,30.0,18.0,20.0,32.0,37.0,36.0,29.0,49.0,162.0,202.0,7.0,6.0,7.0,15.0,8.0,7.0,7.0,12.0,10.0,16.0,12.0,16.0,54.0,57.0,11.0,8.0,24.0,17.0,11.0,14.0,14.0,12.0,21.0,17.0,18.0,24.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat,286.0,267.0,236.0,339.0,324.0,354.0,316.0,374.0,433.0,408.0,439.0,473.0,732.0,841.0,857.0,807.0,859.0,905.0,916.0,945.0,1089.0,1119.0,1162.0,1290.0,1442.0,1527.0,2230.0,2187.0,67.0,62.0,54.0,58.0,48.0,50.0,42.0,27.0,24.0,19.0,30.0,21.0,29.0,23.0,756.0,750.0,722.0,757.0,802.0,736.0,822.0,828.0,727.0,668.0,685.0,745.0,1243.0,1352.0,111.0,104.0,92.0,164.0,104.0,138.0,120.0,122.0,114.0,110.0,93.0,93.0,77.0,173.0,3667.0,3321.0,3684.0,3955.0,4090.0,4977.0,5827.0,6094.0,5506.0,5600.0,6052.0,6658.0,7812.0,5991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haryana,398.0,361.0,353.0,386.0,461.0,608.0,488.0,631.0,603.0,720.0,733.0,668.0,971.0,1174.0,297.0,290.0,271.0,292.0,344.0,431.0,554.0,644.0,659.0,714.0,733.0,900.0,1957.0,1922.0,285.0,256.0,222.0,251.0,212.0,255.0,269.0,302.0,281.0,284.0,255.0,258.0,263.0,293.0,478.0,454.0,344.0,403.0,380.0,486.0,417.0,435.0,451.0,476.0,474.0,525.0,1560.0,1688.0,401.0,1424.0,1302.0,850.0,597.0,491.0,409.0,605.0,605.0,580.0,490.0,434.0,643.0,102.0,1513.0,1565.0,1618.0,2026.0,2075.0,2254.0,2412.0,2435.0,2617.0,2720.0,2740.0,3137.0,3617.0,3478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
himachal pradesh,124.0,137.0,126.0,153.0,141.0,113.0,159.0,157.0,183.0,160.0,168.0,183.0,250.0,283.0,105.0,116.0,96.0,99.0,102.0,109.0,150.0,137.0,122.0,162.0,191.0,152.0,290.0,227.0,10.0,6.0,6.0,8.0,2.0,3.0,8.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,310.0,326.0,250.0,284.0,286.0,275.0,322.0,295.0,318.0,350.0,331.0,250.0,493.0,538.0,14.0,12.0,18.0,16.0,29.0,31.0,33.0,41.0,37.0,78.0,62.0,68.0,111.0,60.0,317.0,234.0,221.0,252.0,228.0,259.0,342.0,343.0,284.0,275.0,239.0,251.0,328.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jammu & kashmir,169.0,192.0,211.0,218.0,201.0,250.0,288.0,219.0,237.0,245.0,277.0,303.0,378.0,331.0,504.0,596.0,615.0,632.0,658.0,723.0,707.0,656.0,825.0,840.0,1023.0,1041.0,949.0,813.0,13.0,18.0,10.0,9.0,5.0,10.0,9.0,21.0,12.0,9.0,11.0,8.0,7.0,5.0,622.0,785.0,875.0,990.0,830.0,960.0,986.0,935.0,972.0,1038.0,1194.0,1322.0,1389.0,1421.0,288.0,368.0,376.0,264.0,371.0,347.0,353.0,296.0,371.0,262.0,350.0,347.0,354.0,237.0,50.0,54.0,71.0,82.0,76.0,135.0,176.0,162.0,196.0,211.0,286.0,301.0,428.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
